country,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,social,products,language,language_en,language_es,language_fr,language_it,gender_M,country_short_list_Denmark,country_short_list_France,country_short_list_Germany,country_short_list_Italy,country_short_list_Netherlands,country_short_list_Other,country_short_list_Spain,country_short_list_Sweden,country_short_list_UK,country_short_list_US
Italy,1.371109957500586,0.7877179162159225,-0.12338326650744538,0.6855673570471809,-5.199337582605575,-5.199337582605575,0.47713424159798007,-5.199337582605575,1,0,1,0,-0.5811754014871106,1.3775681073731048,1.29189709019017,-0.015070479913589657,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Sweden,0.6448288926073632,-0.32459054780791374,0.887611995328476,-5.199337582605575,0.3807256772281369,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,1,0.11556184054752736,1.3775681073731048,0.554614576450374,0.7406299625378859,en,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Netherlands,-0.07290242082136891,-0.32459054780791374,-5.199337582605575,0.9768219351382755,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,-0.5197950743313933,1.3775681073731048,-0.15381512083356783,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
France,-0.35653107332793593,1.597203104737417,0.22800895530513712,-5.199337582605575,-5.199337582605575,-5.199337582605575,1.0437670357108404,0.7406299625378859,1,1,0,1,0.3156323019553776,1.3775681073731048,0.6386569992599217,0.47713424159798007,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-5.199337582605575,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,1.1998308433043867,1.3775681073731048,-1.489816296027173,-0.2177096933638894,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Italy,-5.199337582605575,0.7877179162159225,0.4997736464576173,0.8582008565819824,0.3807256772281369,0.29297785546080574,0.47713424159798007,-5.199337582605575,0,0,0,0,-0.31930004574737436,1.0612481240052618,-0.8224485747698439,0.391549940946073,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
France,-5.199337582605575,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,-0.2642553459387961,1.0612481240052618,-1.489816296027173,-5.199337582605575,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
US,-0.07290242082136891,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,1.8539416002752105,1.0612481240052618,-0.15381512083356783,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
US,0.14619489549821815,-0.32459054780791374,0.22800895530513712,0.48277075642432826,0.07794003679312468,5.19933758270342,-5.199337582605575,-5.199337582605575,0,0,0,1,-0.2642553459387961,1.0612481240052618,0.0628326081658751,0.09811158630531855,en,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
France,0.9332296620625781,-0.32459054780791374,0.4997736464576173,1.3647084924885173,0.5722770893837116,0.17163122855073415,-5.199337582605575,-5.199337582605575,1,0,1,1,-0.9410223871518109,1.0612481240052618,0.8224485747698438,0.34584538129569364,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
US,1.7856972147550783,1.643882862246181,0.9931409247492611,1.3094535521715693,1.1889256188145656,0.6448288926073632,0.767329267253086,1.371109957500586,1,0,1,0,-0.367257632424558,1.0612481240052618,1.7734612670109722,0.887611995328476,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
US,1.489816296027173,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,0,1.1499150669399931,1.0612481240052618,1.4107557937971218,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
US,1.134671396938686,-0.32459054780791374,0.5400270807417926,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,0,0.18412258307840185,1.0612481240052618,1.039446356026401,0.391549940946073,en,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
US,-0.35653107332793593,-0.32459054780791374,0.8366210470077801,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.13351313739201764,1.0612481240052618,-0.4188158757609385,0.6855673570471813,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,-5.199337582605575,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,2.8775301535343454,1.0612481240052618,-1.489816296027173,-0.2177096933638894,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.35653107332793593,-0.32459054780791374,0.22800895530513712,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,0.29297785546080574,1.0612481240052618,-0.4188158757609385,0.09811158630531855,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Italy,1.42447638186237,1.29189709019017,0.6634943012767216,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.767329267253086,2.4158680440872184,1,0,1,0,-5.199337582605575,1.0612481240052618,1.438470502172995,0.5811754014871102,it,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
France,0.6448288926073632,-0.32459054780791374,1.171627121783557,0.8582008565819824,0.8988407803955765,5.19933758270342,0.47713424159798007,0.9931409247492611,0,0,0,0,-5.199337582605575,1.0612481240052618,0.554614576450374,1.026599226458071,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Germany,0.551687720243482,1.553765004444046,1.1251604667820427,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.9139912510859728,0.7406299625378859,1,0,1,1,0.1105423988369891,1.0612481240052618,0.8764940252602996,1.0097287788244826,de,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australia,0.734037551942624,-0.32459054780791374,0.6887478415401648,1.474747051661919,1.438470502172995,5.19933758270342,0.8545766277826874,-5.199337582605575,0,0,0,0,-0.3061124379827219,1.0612481240052618,0.6386569992599217,0.6263854903857047,en,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Germany,1.134671396938686,0.7877179162159225,-5.199337582605575,-5.199337582605575,0.07794003679312468,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,0,0.5824430762253573,1.0612481240052618,1.0745748200036591,-5.199337582605575,en,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
France,-5.199337582605575,0.7877179162159225,1.0790596836778412,0.8582008565819824,-5.199337582605575,-5.199337582605575,1.5172109877853248,1.1491333414999843,0,0,0,0,-0.5197950743313933,1.0612481240052618,-0.8224485747698439,1.1442860901432388,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Netherlands,0.551687720243482,2.1885714181908216,1.7835690756047329,-5.199337582605575,-5.199337582605575,-5.199337582605575,1.1540077441840437,1.4527521379315975,0,0,0,1,-0.9410223871518109,1.0612481240052618,1.7734612670109722,1.58886740819733,en,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Italy,-0.07290242082136891,1.4107557937971218,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.47713424159798007,0.7406299625378859,1,0,1,1,0.9880168184081843,1.0612481240052618,0.4547368076104847,-0.2177096933638894,en,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
UK,0.9849486421130661,1.1110819741139202,0.9139912510859728,0.16908286461285651,0.7144484853753008,5.19933758270342,0.660367479703957,-5.199337582605575,1,0,1,0,-5.199337582605575,1.0612481240052618,0.9607590224730421,0.7980358274390273,en,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
France,-0.35653107332793593,-0.32459054780791374,0.10063567064126884,1.9101630389914142,0.5722770893837116,0.391549940946073,-5.199337582605575,-5.199337582605575,1,0,1,1,-5.199337582605575,1.0612481240052618,-0.4188158757609385,-0.015070479913589657,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-5.199337582605575,1.1110819741139202,0.9808771910597376,-5.199337582605575,-5.199337582605575,-5.199337582605575,1.0437670357108404,-5.199337582605575,1,0,1,1,-0.1792830812058281,1.0612481240052618,-0.4188158757609385,0.9410223871518109,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Spain,1.3274231757153436,2.0067515937676514,2.0800604314914777,0.6855673570471809,0.07794003679312468,5.19933758270342,1.5707855701965028,0.9931409247492611,1,0,1,1,-5.199337582605575,1.0612481240052618,1.7159437146034884,1.9353334232816657,en,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UK,0.9332296620625781,-0.32459054780791374,-5.199337582605575,1.653661089487923,1.3647084924885173,5.19933758270342,-5.199337582605575,-5.199337582605575,0,0,0,1,-0.24091726781770412,1.0612481240052618,0.8224485747698438,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UK,0.4491733463775526,-0.32459054780791374,-5.199337582605575,1.0701114668128873,0.968759234053376,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,1.6839860293406312,1.0612481240052618,0.3511832148403354,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
France,-5.199337582605575,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,2.0849631950358196,1.0612481240052618,-1.489816296027173,-0.2177096933638894,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.07290242082136891,-0.32459054780791374,-5.199337582605575,0.16908286461285651,0.5722770893837116,0.17163122855073415,-5.199337582605575,-5.199337582605575,1,1,0,1,0.020094564876261968,1.0612481240052618,-0.15381512083356783,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,2.688086085103842,1.5052316564617902,1.25793066169206,2.0261231043593337,3.320972476113444,0.7406299625378859,1.1157502416841865,1.1491333414999843,1,0,1,0,-5.199337582605575,1.0612481240052618,2.3006043126445284,1.1346713969386863,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
UK,-0.7774831914284764,-0.32459054780791374,0.5782042163259619,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.9931409247492611,0,0,0,1,1.474747051661919,1.0612481240052618,-0.8224485747698439,0.4188158757609385,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spain,-0.7774831914284764,-0.32459054780791374,-5.199337582605575,0.16908286461285651,0.07794003679312468,-5.199337582605575,0.47713424159798007,-5.199337582605575,1,1,0,1,1.2257577387037355,1.0612481240052618,-0.8224485747698439,-0.2177096933638894,es,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sweden,-0.07290242082136891,-0.32459054780791374,0.10063567064126884,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.3648676873826507,1.0612481240052618,-0.15381512083356783,-0.015070479913589657,en,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
France,1.2977048467328651,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.7144484853753008,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,0,-0.9410223871518109,1.0612481240052618,1.194033331812331,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.35653107332793593,1.29189709019017,-5.199337582605575,0.48277075642432826,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,1.0768863222517953,1.0612481240052618,0.22800895530513712,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.7774831914284764,0.7877179162159225,-5.199337582605575,0.6855673570471809,0.07794003679312468,5.19933758270342,0.767329267253086,0.7406299625378859,0,0,0,1,-0.21256877768109023,1.0612481240052618,-0.4188158757609385,0.09811158630531855,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Spain,1.3274231757153436,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.07794003679312468,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,0,2.256359974203136,1.0612481240052618,1.2253566257226682,-5.199337582605575,es,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Chypre,-0.7774831914284764,-0.32459054780791374,0.5400270807417926,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.47713424159798007,-5.199337582605575,1,0,1,1,-0.24091726781770412,1.0612481240052618,-0.8224485747698439,0.4188158757609385,en,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
France,0.14619489549821815,-0.32459054780791374,-0.12338326650744538,0.48277075642432826,1.25793066169206,0.5026214279703101,-5.199337582605575,0.7406299625378859,1,0,1,0,-0.6634943012767219,1.0612481240052618,0.0628326081658751,-0.2177096933638894,it,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
France,-0.7774831914284764,0.7877179162159225,1.5798154707919088,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.7406299625378859,0,0,0,1,-0.253865850004556,1.0612481240052618,-0.4188158757609385,1.3658671142217327,en,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
UK,1.1788021854537032,-0.32459054780791374,0.7877179162159221,-5.199337582605575,0.07794003679312468,5.19933758270342,0.47713424159798007,-5.199337582605575,1,1,0,0,0.9216456726698067,1.0612481240052618,1.0745748200036591,0.6448288926073632,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Netherlands,2.2234009622462,0.7877179162159225,0.8764940252602996,-5.199337582605575,1.4974794951902486,0.29297785546080574,1.25793066169206,1.694447074405764,1,1,0,0,-0.6634943012767219,1.0612481240052618,1.9563415794347887,0.910184056527656,en,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Italy,-0.07290242082136891,1.1110819741139202,1.0612481240052625,0.9768219351382755,-5.199337582605575,-5.199337582605575,0.47713424159798007,0.7406299625378859,0,0,0,1,-5.199337582605575,1.0612481240052618,0.22800895530513712,0.9254932007259913,it,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Italy,1.3274231757153436,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,0.5722770893837116,0.391549940946073,-5.199337582605575,-5.199337582605575,0,0,0,0,-0.9410223871518109,1.0612481240052618,1.2253566257226682,-0.2177096933638894,it,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
France,-0.07290242082136891,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,1.2830387868727597,1.0612481240052618,-0.15381512083356783,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-5.199337582605575,-0.32459054780791374,-5.199337582605575,0.48277075642432826,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,0,0.42155933496113135,1.0612481240052618,-1.489816296027173,-5.199337582605575,en,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,1.1788021854537032,0.7877179162159225,0.6325093385485111,1.694447074405764,1.25793066169206,5.19933758270342,-5.199337582605575,1.5052316564617902,1,0,1,1,-0.5197950743313933,1.0612481240052618,1.10643779528449,0.47713424159798007,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
UK,0.4491733463775526,-0.32459054780791374,0.3942631404577641,0.6855673570471809,-5.199337582605575,5.19933758270342,0.47713424159798007,-5.199337582605575,0,0,0,1,0.47049910429488684,1.0612481240052618,0.3511832148403354,0.2982254980190218,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Italy,-0.07290242082136891,-0.32459054780791374,1.5096935299905803,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.767329267253086,-5.199337582605575,1,0,1,1,-0.253865850004556,1.0612481240052618,-0.15381512083356783,1.3179390290983601,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
France,1.3274231757153436,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.07794003679312468,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,0,0.6111773684342875,1.0612481240052618,1.2253566257226682,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,0.14619489549821815,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.8988407803955765,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,1,-5.199337582605575,1.0612481240052618,0.0628326081658751,-5.199337582605575,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Italy,0.14619489549821815,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,1.7050969053330023,1.0612481240052618,0.0628326081658751,-0.2177096933638894,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Italy,-0.7774831914284764,0.7877179162159225,1.9683636453813182,-5.199337582605575,0.07794003679312468,-5.199337582605575,0.47713424159798007,1.2690904173592283,1,1,0,0,-0.1792830812058281,1.0612481240052618,-0.4188158757609385,1.8137692817821833,it,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
UK,0.14619489549821815,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.3807256772281369,0.29297785546080574,-5.199337582605575,-5.199337582605575,0,0,0,1,0.012558588000630875,1.0612481240052618,0.0628326081658751,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spain,-0.7774831914284764,1.5052316564617902,1.6433238040421108,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.660367479703957,1.4527521379315975,1,0,1,1,-5.199337582605575,1.0612481240052618,0.3511832148403354,1.424400598270617,es,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
France,-0.7774831914284764,-0.32459054780791374,0.9254932007259913,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.47713424159798007,-5.199337582605575,0,0,0,0,0.4651960812492497,1.0612481240052618,-0.8224485747698439,0.7980358274390273,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
France,-5.199337582605575,0.7877179162159225,-5.199337582605575,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.07794003679312468,1.0612481240052618,-0.8224485747698439,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Chypre,1.489816296027173,-0.32459054780791374,-5.199337582605575,1.1638397054677863,0.5722770893837116,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,0,-0.47432166968918105,1.0612481240052618,1.4107557937971218,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Germany,0.3166581515711474,-0.32459054780791374,2.144124758037676,0.16908286461285651,-5.199337582605575,-5.199337582605575,1.1540077441840437,1.653661089487923,1,0,1,1,-5.199337582605575,1.0612481240052618,0.22800895530513712,1.9694891680869802,de,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Italy,1.371109957500586,-0.32459054780791374,-5.199337582605575,0.6855673570471809,0.7144484853753008,0.13060334437662788,-5.199337582605575,-5.199337582605575,1,0,1,0,0.5380565966227132,1.0612481240052618,1.25793066169206,-5.199337582605575,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Germany,1.7269962515931594,0.7877179162159225,1.1838487364478714,0.16908286461285651,0.8084394051616053,-5.199337582605575,1.0055558754164782,2.208977329326866,1,1,0,0,-0.6634943012767219,1.0612481240052618,1.606298149162689,1.0790596836778412,de,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UK,0.6448288926073632,-0.32459054780791374,-5.199337582605575,0.16908286461285651,0.07794003679312468,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.8545766277826874,1.0612481240052618,0.554614576450374,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UK,1.7856972147550783,-0.32459054780791374,-5.199337582605575,2.3255966182826127,2.128272768734549,5.19933758270342,-5.199337582605575,-5.199337582605575,0,0,0,1,-0.31930004574737436,1.0612481240052618,1.624784819167346,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UK,-0.35653107332793593,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,-0.02260678964960031,1.0612481240052618,-0.4188158757609385,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
France,1.25793066169206,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.5722770893837116,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,0,0.7307532889540127,1.0612481240052618,1.1491333414999843,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-5.199337582605575,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,0.7729604993767921,1.0612481240052618,-1.489816296027173,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Italy,1.3274231757153436,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.5722770893837116,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,0,0.2782569846195563,1.0612481240052618,1.2253566257226682,-5.199337582605575,it,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
UK,-0.07290242082136891,-0.32459054780791374,0.7176941489327423,0.16908286461285651,-5.199337582605575,-5.199337582605575,1.1540077441840437,0.7406299625378859,1,0,1,1,-5.199337582605575,1.0612481240052618,-0.15381512083356783,0.7707050743460511,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Germany,0.14619489549821815,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,1.565662962421565,1.0612481240052618,0.0628326081658751,-5.199337582605575,de,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
France,-5.199337582605575,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.07794003679312468,5.19933758270342,-5.199337582605575,-5.199337582605575,1,1,0,1,1.0703965519592107,1.0612481240052618,-1.489816296027173,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Italy,1.8512871307126821,-0.32459054780791374,0.7176941489327423,-5.199337582605575,1.4974794951902486,0.4385152156574532,1.0835663572614778,1.1491333414999843,1,0,1,0,0.012558588000630875,1.0612481240052618,1.6783254512933417,0.7406299625378859,en,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
France,-0.7774831914284764,-0.32459054780791374,1.1838487364478714,0.48277075642432826,0.07794003679312468,5.19933758270342,1.4455744643908879,0.7406299625378859,0,0,0,0,-0.47432166968918105,1.0612481240052618,-0.8224485747698439,1.194033331812331,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,0.14619489549821815,-0.32459054780791374,0.10063567064126884,1.2414789823350052,0.5722770893837116,0.391549940946073,0.47713424159798007,-5.199337582605575,0,0,0,1,-0.367257632424558,1.0612481240052618,0.0628326081658751,0.09811158630531855,en,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,1.026599226458071,-0.32459054780791374,0.3942631404577641,0.16908286461285651,0.5722770893837116,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,1,-0.027631683130322347,1.0612481240052618,0.9178117400238887,0.2460917329967798,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.7774831914284764,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.3807256772281369,5.19933758270342,-5.199337582605575,-5.199337582605575,0,0,0,1,1.2690904173592283,1.0612481240052618,-0.8224485747698439,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,-0.07290242082136891,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,1.588273757582027,1.0612481240052618,-0.15381512083356783,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
