country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list
Finland,en,3,9,30,0,1,0.0,0,0,F,True,False,True,False,13,3203,Other
Germany,en,4,8,0,0,2,0.0,13,0,F,True,False,True,True,252,3203,Germany
France,en,41,8,0,23,43,78.0,0,0,F,True,True,True,False,11,3203,France
US,en,7,8,0,0,1,0.0,0,1,F,False,False,False,True,670,3203,US
Monaco,it,12,8,5,1,13,100.0,0,0,F,False,False,False,True,19,3203,Other
Spain,es,27,8,0,3,2,0.0,0,0,F,False,False,False,False,444,3203,Spain
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,707,3203,France
Italy,it,3,8,1,3,1,0.0,0,0,F,False,False,False,False,34,3203,Italy
US,en,5,8,0,0,1,0.0,0,0,F,False,False,False,True,704,3203,US
Spain,es,6,8,0,0,1,0.0,0,0,F,True,True,False,True,689,3203,Spain
Italy,it,6,8,20,6,9,88.0,10,0,F,False,False,False,True,13,3203,Italy
UK,en,24,8,1,3,3,100.0,1,0,M,True,False,True,False,424,3203,UK
France,fr,7,8,1,0,3,100.0,0,0,M,True,False,True,True,407,3203,France
France,fr,7,8,14,0,9,88.0,0,1,M,True,False,True,True,25,3203,France
Italy,it,43,8,5,1,4,0.0,0,0,F,True,False,True,False,448,3203,Italy
Spain,es,20,8,0,0,1,0.0,0,0,M,True,False,True,False,264,3203,Spain
UK,en,12,8,0,1,2,0.0,0,0,M,True,False,True,True,62,3203,UK
Denmark,en,23,10,67,2,5,60.0,6,3,F,True,False,True,True,19,3203,Denmark
Germany,de,48,16,599,22,82,89.0,1016,32,F,True,False,True,False,11,3203,Germany
Denmark,en,3,8,7,0,1,0.0,0,0,F,False,False,False,True,43,3203,Denmark
Germany,fr,3,8,3,0,1,0.0,16,0,F,False,False,False,True,171,3203,Germany
Austria,en,8,8,0,0,1,0.0,0,0,M,True,False,True,True,130,3203,Other
Italy,it,46,192,274,22,9,88.0,47,0,M,False,False,False,False,11,3203,Italy
Italy,it,30,8,0,1,3,100.0,0,0,M,True,False,True,False,301,3203,Italy
France,fr,3,8,0,0,1,0.0,0,0,M,True,False,True,True,48,3203,France
UK,en,9,8,9,0,4,100.0,2,3,F,True,False,True,True,29,3203,UK
Germany,de,5,8,0,0,1,0.0,0,0,F,True,False,True,True,706,3203,Germany
Germany,de,3,8,32,2,1,0.0,40,4,F,True,False,True,True,13,3203,Germany
Denmark,en,3,8,3,1,1,0.0,0,0,F,True,False,True,True,55,3203,Denmark
Spain,es,79,421,1751,4,10,77.7,299,0,F,True,True,False,False,55,3203,Spain
Italy,it,4,8,0,6,1,0.0,0,0,F,False,False,False,True,13,3203,Italy
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,698,3203,France
France,fr,21,8,0,0,2,100.0,0,0,M,True,True,False,False,546,3203,France
France,fr,4,8,16,1,1,0.0,0,0,F,True,False,True,True,20,3203,France
France,fr,4,8,11,0,1,0.0,0,0,F,True,False,True,True,34,3203,France
US,en,27,12,4,1,1,0.0,0,0,F,False,False,False,False,209,3203,US
Italy,it,4,12,5,4,4,100.0,11,0,F,True,False,True,False,11,3203,Italy
Portugal,en,8,20,9,4,3,66.0,141,3,F,False,False,False,True,32,3203,Other
Spain,es,10,9,35,8,10,100.0,14,0,F,True,False,True,False,12,3203,Spain
France,fr,3,8,0,0,1,0.0,0,0,M,False,False,False,True,11,3203,France
France,fr,5,8,0,0,6,83.0,0,0,F,True,False,True,False,45,3203,France
UK,en,9,8,1,0,1,0.0,1,0,F,False,False,False,True,707,3203,UK
France,fr,5,7,0,0,1,0.0,0,0,F,True,False,True,True,676,3203,France
Italy,it,19,8,1,15,30,83.0,0,1,F,True,False,True,True,13,3203,Italy
Austria,de,4,8,60,0,3,66.0,1,0,F,True,False,True,True,53,3202,Other
Italy,it,9,8,7,21,5,100.0,12,0,M,True,False,True,False,11,3202,Italy
UK,en,24,9,0,2,3,0.0,0,0,F,True,False,True,False,227,3202,UK
France,fr,4,8,4,0,1,0.0,0,0,M,True,False,True,True,72,3202,France
Italy,it,3,8,4,1,1,0.0,2,0,F,True,False,True,True,90,3202,Italy
US,en,36,15,3,0,9,100.0,1,0,M,True,True,True,False,304,3202,US
US,en,22,9,1,0,1,0.0,0,0,M,True,False,True,False,695,3202,US
UK,en,8,8,5,0,2,100.0,3,0,M,True,False,True,True,369,3202,UK
UK,en,52,44,73,15,19,100.0,3,3,F,True,False,True,False,13,3202,UK
UK,en,12,8,133,2,4,100.0,0,4,F,True,False,True,True,12,3202,UK
France,fr,27,8,24,0,1,0.0,0,0,F,True,False,True,False,62,3202,France
US,en,9,8,0,0,1,0.0,0,0,F,True,False,True,True,705,3202,US
Netherlands,en,3,4,4,0,1,0.0,1,6,F,False,False,False,True,81,3202,Netherlands
US,en,10,8,0,0,2,100.0,0,0,M,True,False,True,True,618,3202,US
US,en,43,23,894,3,8,62.5,290,174,F,True,False,True,True,11,3202,US
Australia,en,11,16,21,0,1,0.0,28,2,F,False,False,False,False,11,3202,Other
Netherlands,en,8,8,1,0,1,0.0,2,0,F,True,False,True,True,47,3202,Netherlands
UK,en,4,8,0,2,1,0.0,0,1,F,False,False,False,True,17,3202,UK
UK,en,5,9,0,0,1,0.0,0,0,F,True,False,True,True,132,3202,UK
Hong Kong,en,46,41,70,0,1,0.0,67,5,F,True,False,True,False,258,3202,Other
France,fr,4,8,1,1,2,0.0,0,0,F,True,True,False,True,597,3202,France
Spain,en,26,8,0,4,10,100.0,0,0,F,True,True,False,False,36,3202,Spain
UK,en,3,8,0,0,1,0.0,0,0,F,False,False,False,True,102,3202,UK
UK,en,22,8,16,0,4,75.0,0,1,F,False,False,False,False,181,3202,UK
France,fr,5,8,0,0,1,0.0,0,0,M,False,False,False,True,383,3202,France
France,fr,3,8,1,2,2,100.0,0,0,F,False,False,False,True,647,3202,France
France,en,4,8,3,1,2,100.0,0,0,M,False,False,False,True,47,3202,France
France,fr,3,8,0,0,1,0.0,0,0,F,True,False,True,True,695,3202,France
France,fr,4,8,1,0,1,0.0,0,0,F,False,False,False,True,666,3202,France
Spain,es,29,8,12,0,6,100.0,8,4,F,True,False,True,False,14,3202,Spain
Italy,it,58,34,148,22,10,100.0,2,3,F,True,False,True,False,11,3202,Italy
Denmark,en,5,8,64,2,4,75.0,0,4,M,False,False,False,False,25,3202,Denmark
France,en,12,8,3,0,6,66.0,3,0,F,False,False,False,True,372,3202,France
Italy,it,37,9,122,23,27,85.0,0,0,M,True,False,True,False,11,3202,Italy
France,fr,15,8,6,7,11,100.0,44,1,F,False,False,False,True,13,3202,France
Italy,it,4,8,0,3,1,0.0,0,0,M,False,False,False,True,516,3202,Italy
Italy,it,27,10,10,0,1,0.0,0,0,F,True,False,True,False,601,3202,Italy
Spain,en,7,8,0,3,4,60.0,0,0,F,True,False,True,True,12,3202,Spain
Italy,it,49,35,1,0,4,100.0,0,0,F,True,False,True,False,18,3202,Italy
France,fr,8,9,2,3,2,0.0,0,0,F,False,False,False,False,41,3202,France
UK,en,15,19,0,5,2,0.0,149,22,F,True,False,True,True,12,3202,UK
Spain,es,4,8,18,0,1,0.0,5,3,F,True,False,True,False,114,3202,Spain
Netherlands,en,35,11,8,2,27,55.0,1,0,M,True,False,True,False,30,3202,Netherlands
France,fr,9,11,10,10,6,50.0,0,0,F,True,False,True,True,661,3202,France
Sweden,en,37,11,143,2,5,60.0,14,2,F,True,False,True,False,17,3202,Sweden
France,fr,8,8,1,0,1,0.0,1,1,M,False,False,False,True,634,3202,France
France,fr,6,8,1,0,1,0.0,0,0,F,True,True,False,True,584,3202,France
Italy,it,3,8,0,2,1,0.0,0,0,F,True,True,False,True,11,3202,Italy
Italy,it,42,8,1,22,11,90.0,1,0,F,False,False,False,False,25,3202,Italy
Italy,it,13,8,0,3,3,100.0,0,0,F,True,False,True,True,41,3202,Italy
Italy,it,4,8,2,1,1,0.0,3,0,F,True,False,True,True,15,3202,Italy
France,fr,7,8,1,0,1,0.0,0,0,F,False,False,False,True,706,3202,France
US,en,6,8,0,0,1,0.0,0,1,F,True,False,True,True,681,3202,US
France,fr,4,8,0,0,1,0.0,0,0,F,False,False,False,True,676,3202,France
France,fr,8,9,3,7,14,100.0,0,0,F,False,False,False,True,27,3202,France
Spain,es,9,13,7,0,1,0.0,4,1,F,True,False,True,True,180,3202,Spain
Netherlands,en,7,8,1,0,1,0.0,0,0,F,True,False,True,True,617,3202,Netherlands
Austria,de,6,8,3,0,1,0.0,1,0,F,False,False,False,True,273,3202,Other
Italy,it,11,15,2,0,2,50.0,0,0,F,True,False,True,True,201,3202,Italy
UK,en,13,12,6,1,6,100.0,0,0,F,True,False,True,False,14,3202,UK
UK,en,14,37,4,4,8,87.0,0,0,F,True,False,True,True,11,3202,UK
Ireland,en,8,8,312,1,5,60.0,123,18,F,True,True,False,True,14,3202,Other
Germany,en,4,13,14,4,1,0.0,11,0,F,False,False,False,True,114,3202,Germany
UK,en,5,8,0,2,1,0.0,0,0,F,True,False,True,True,42,3202,UK
France,fr,4,8,0,0,1,0.0,0,0,F,True,False,True,True,285,3202,France
Italy,it,63,8,2,7,49,86.4,0,0,F,True,True,False,False,12,3202,Italy
Finland,en,6,10,13,4,5,80.0,117,85,F,False,False,False,False,11,3202,Other
France,fr,11,8,17,0,4,75.0,1,0,F,True,False,True,False,12,3202,France
Germany,de,32,8,0,0,2,100.0,0,0,M,True,False,True,False,430,3202,Germany
Italy,it,44,8,1,0,15,31.0,0,0,M,True,False,True,True,26,3202,Italy
France,fr,5,8,0,0,1,0.0,0,0,M,True,False,True,True,632,3202,France
Italy,it,4,8,0,1,2,0.0,0,0,M,True,False,True,True,633,3202,Italy
Italy,de,8,8,1,2,12,75.0,0,0,M,False,False,False,True,19,3202,Italy
Italy,it,26,10,2,0,1,0.0,27,1,F,True,False,True,False,37,3202,Italy
Sweden,en,8,11,3,10,4,100.0,0,0,M,True,False,True,False,13,3202,Sweden
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,263,3202,France
Italy,it,103,431,7,13,66,93.0,0,0,F,True,False,True,False,15,3202,Italy
UK,en,6,8,0,0,8,88.0,0,0,F,True,False,True,True,189,3202,UK
France,fr,4,8,0,0,3,100.0,0,0,F,False,False,False,True,458,3202,France
US,en,4,8,0,0,2,100.0,0,0,F,True,False,True,True,377,3202,US
France,fr,5,8,0,0,1,0.0,0,0,F,False,False,False,True,383,3202,France
UK,en,10,7,3,3,1,0.0,236,81,F,False,False,False,True,11,3202,UK
Portugal,en,7,8,0,2,4,75.0,0,0,F,True,True,True,True,63,3202,Other
France,fr,7,10,1,0,14,92.0,0,1,M,True,False,True,True,120,3202,France
Italy,it,4,8,0,0,2,0.0,0,0,M,True,False,True,True,120,3202,Italy
UK,en,12,8,0,7,10,75.0,0,0,F,True,False,True,False,11,3202,UK
Belgium,en,28,8,87,0,1,0.0,0,3,F,True,False,True,False,11,3202,Belgium
Spain,es,7,8,1,1,3,66.0,0,0,F,False,False,False,True,592,3202,Spain
France,fr,28,8,0,0,1,0.0,4,1,F,False,False,False,False,142,3202,France
France,fr,6,10,6,0,1,0.0,0,0,M,False,False,False,True,640,3202,France
Grèce,en,32,11,0,17,3,66.0,0,0,F,True,True,False,False,18,3202,Other
France,fr,5,8,0,4,2,0.0,0,0,F,False,False,False,False,11,3202,France
Ireland,en,10,8,0,5,4,50.0,1,1,F,False,False,False,True,17,3202,Other
UK,en,5,8,0,1,1,0.0,0,0,F,False,False,False,True,455,3202,UK
Ireland,en,5,8,0,0,1,0.0,0,1,F,False,False,False,True,679,3202,Other
Spain,es,85,0,115,54,73,90.0,4,0,M,True,True,False,False,11,3202,Spain
Belgium,en,11,10,153,27,13,92.0,63,6,F,True,False,True,True,11,3202,Belgium
Italy,it,172,50,778,96,34,64.0,2,0,F,True,False,True,False,11,3202,Italy
Luxembourg,fr,9,8,7,1,1,0.0,0,1,F,True,True,False,True,15,3202,Other
Austria,de,8,10,3,3,1,0.0,49,0,F,True,False,True,True,16,3202,Other
France,fr,6,8,1,2,1,0.0,1,0,F,True,False,True,True,102,3202,France
Italy,it,22,9,36,51,18,70.0,1,0,F,True,False,True,False,11,3202,Italy
UK,en,5,8,0,0,1,0.0,0,0,F,False,False,False,True,358,3202,UK
UK,en,11,10,14,5,18,83.0,19,0,M,True,False,True,True,12,3202,UK
France,fr,7,8,0,1,3,100.0,0,0,F,False,False,False,True,379,3202,France
Belgium,fr,15,11,5,0,1,0.0,0,0,M,True,False,True,True,586,3202,Belgium
Italy,it,12,11,6,1,8,100.0,5,0,F,True,False,True,True,12,3202,Italy
Slovaquie,en,6,9,2,0,1,0.0,1,0,M,True,False,True,False,19,3202,Other
Italy,it,5,9,41,2,3,66.0,5,0,F,True,False,True,True,12,3202,Italy
US,en,4,8,0,0,1,0.0,1,1,F,True,False,True,True,149,3202,US
France,fr,3,8,0,1,2,100.0,0,0,F,False,False,False,True,138,3205,France
France,fr,8,10,16,1,1,0.0,0,0,F,False,False,False,True,30,3205,France
Italy,it,11,11,159,1,11,90.9,11,1,F,True,True,True,True,13,3205,Italy
France,fr,4,9,4,1,9,100.0,0,1,F,False,False,False,False,11,3205,France
Italy,it,6,8,1,0,1,0.0,0,0,F,False,False,False,True,460,3205,Italy
Germany,de,8,10,45,0,1,0.0,4,10,M,True,False,True,True,105,3205,Germany
Italy,it,6,8,2,2,1,0.0,0,0,F,True,True,False,True,477,3205,Italy
France,fr,12,11,0,1,5,100.0,1,22,F,False,False,False,True,44,3205,France
France,fr,3,8,5,5,1,0.0,0,0,M,False,False,False,False,21,3205,France
UK,en,21,8,1,5,29,100.0,0,0,F,True,False,True,True,198,3205,UK
France,fr,3,8,0,0,1,0.0,0,0,F,True,False,True,True,694,3205,France
Italy,it,4,8,0,0,1,0.0,0,0,F,True,False,True,True,424,3205,Italy
UK,en,5,8,0,3,1,0.0,0,0,F,False,False,False,True,427,3205,UK
Italy,it,3,8,0,0,2,0.0,0,2,M,False,False,False,True,15,3205,Italy
France,fr,28,9,42,1,5,80.0,0,0,F,True,False,True,False,24,3205,France
UK,en,4,8,0,0,1,0.0,0,0,F,True,False,True,True,662,3205,UK
UK,en,5,8,1,4,1,0.0,0,0,F,False,False,False,False,15,3205,UK
Italy,it,4,8,0,18,18,84.0,0,0,F,False,False,False,True,29,3205,Italy
France,fr,14,8,0,13,11,100.0,0,0,F,False,False,False,True,28,3205,France
France,fr,5,10,9,0,1,0.0,1,0,F,True,False,True,True,23,3205,France
UK,en,6,8,51,6,6,85.0,29,14,F,True,False,True,True,14,3205,UK
Italy,it,7,8,0,0,12,91.0,0,0,M,False,False,False,True,295,3205,Italy
Italy,it,15,8,1,3,11,100.0,0,0,F,True,False,True,True,12,3205,Italy
Italy,it,3,8,0,0,2,0.0,0,0,M,False,False,False,True,305,3205,Italy
France,fr,7,8,0,0,2,100.0,0,0,F,False,False,False,True,272,3205,France
UK,en,52,8,0,32,55,100.0,0,0,F,False,False,False,True,86,3205,UK
UK,en,6,8,25,2,8,100.0,14,2,F,True,False,True,True,27,3205,UK
France,fr,6,8,0,0,3,100.0,0,0,F,False,False,False,True,332,3205,France
France,fr,7,8,0,0,1,0.0,0,0,F,True,False,True,True,29,3202,France
Spain,en,89,61,10,1,14,91.6,0,0,F,False,False,False,False,11,3201,Spain
Italy,it,4,8,2,0,1,0.0,0,1,M,False,False,False,True,324,3201,Italy
France,fr,4,8,0,0,2,0.0,0,0,F,True,False,True,True,44,3201,France
France,fr,10,12,182,0,2,0.0,2,5,M,True,False,True,True,89,3201,France
Sweden,en,4,8,24,0,1,0.0,3,3,F,False,False,False,True,30,3201,Sweden
Italy,it,7,12,42,0,1,0.0,2,1,M,False,False,False,False,15,3201,Italy
UK,en,24,8,6,4,5,100.0,12,0,F,False,False,False,False,22,3201,UK
US,en,6,8,19,0,2,100.0,0,0,F,True,False,True,True,153,3201,US
US,en,4,8,0,0,1,0.0,0,0,F,True,False,True,True,650,3201,US
UK,en,6,8,0,0,1,0.0,0,0,M,True,False,True,True,689,3201,UK
France,fr,12,8,1,8,13,90.9,0,0,F,True,False,True,True,15,3201,France
Germany,de,19,8,125,7,6,100.0,0,4,F,True,False,True,False,12,3201,Germany
US,en,24,9,5,6,5,100.0,1,0,F,True,False,True,False,265,3201,US
Austria,de,5,8,3,0,1,0.0,23,2,M,False,False,False,True,524,3201,Other
Spain,es,8,9,1,1,1,0.0,1,17,F,True,False,True,True,13,3201,Spain
France,fr,15,8,0,0,3,100.0,0,0,F,True,False,True,False,250,3201,France
Lettonie,en,36,8,3,21,21,90.0,0,0,F,True,False,True,False,12,3201,Other
Germany,en,3,8,1,0,1,0.0,0,0,M,False,False,False,True,129,3201,Germany
France,fr,5,8,0,0,3,100.0,0,0,F,False,False,False,True,58,3201,France
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,398,3201,France
Italy,it,14,8,0,20,22,100.0,0,0,F,True,False,True,True,12,3201,Italy
Italy,it,4,8,2,1,4,100.0,2,0,F,False,False,False,True,456,3201,Italy
UK,en,4,8,4,1,4,50.0,1,0,F,True,False,True,True,57,3201,UK
UK,en,4,8,0,1,1,0.0,0,1,F,False,False,False,True,23,3201,UK
Netherlands,en,7,8,0,2,4,75.0,1,0,F,True,False,True,True,11,3201,Netherlands
Spain,es,96,0,3,0,50,96.0,214,32,F,True,False,True,False,13,3201,Spain
Germany,de,12,8,1,1,14,92.0,0,0,F,False,False,False,True,222,3201,Germany
Italy,it,13,8,2,3,1,0.0,0,0,M,True,False,True,False,17,3201,Italy
Germany,en,4,8,208,1,1,0.0,31,11,F,False,False,False,True,11,3201,Germany
Italy,it,38,30,61,2,3,100.0,11,0,F,True,True,False,False,15,3201,Italy
France,fr,5,8,1,0,1,0.0,0,0,F,True,True,False,True,610,3201,France
UK,en,5,0,4,4,2,100.0,1,2,M,False,False,False,False,26,3201,UK
France,fr,14,8,0,6,9,55.0,0,2,F,False,False,False,True,33,3201,France
France,fr,3,8,0,2,1,0.0,0,0,F,False,False,False,True,111,3201,France
France,fr,4,8,41,0,1,0.0,0,2,F,True,False,True,True,162,3201,France
UK,en,4,8,0,0,1,0.0,0,2,M,True,False,True,True,582,3201,UK
France,fr,4,8,1,0,2,0.0,0,0,M,True,False,True,False,203,3201,France
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,331,3201,France
France,fr,4,8,0,1,1,0.0,0,0,F,False,False,False,True,234,3201,France
France,fr,3,8,4,0,1,0.0,0,0,F,False,False,False,True,21,3201,France
Germany,de,9,8,0,1,2,0.0,175,3,F,True,False,True,False,11,3201,Germany
France,fr,23,8,5,0,1,0.0,7,0,M,False,False,False,False,61,3201,France
France,fr,4,8,0,0,4,75.0,0,0,F,False,False,False,False,47,3201,France
UK,en,15,9,2,0,3,0.0,0,1,M,True,False,True,False,244,3201,UK
Romania,en,5,8,11,18,1,0.0,38,1,F,False,False,False,False,14,3201,Other
France,fr,6,8,0,0,1,0.0,0,0,F,True,False,True,True,23,3201,France
France,fr,8,8,12,16,2,100.0,0,0,F,True,False,True,True,20,3201,France
France,fr,5,8,0,4,8,87.0,0,0,M,True,True,False,True,51,3201,France
UK,en,5,8,16,1,2,0.0,0,0,M,False,False,False,True,517,3201,UK
Grèce,en,15,8,41,1,1,0.0,6,1,F,True,False,True,False,73,3201,Other
France,fr,5,8,0,2,1,0.0,0,0,F,True,False,True,True,630,3201,France
Spain,es,13,29,320,3,1,0.0,24,8,F,False,False,False,True,11,3201,Spain
UK,en,7,8,0,0,2,100.0,0,0,F,False,False,False,True,394,3201,UK
France,fr,4,8,0,1,1,0.0,0,0,F,True,False,True,True,14,3201,France
Grèce,en,16,8,128,9,3,100.0,0,7,F,False,False,False,False,11,3201,Other
France,fr,21,2,61,11,11,100.0,225,1,F,False,False,False,False,24,3201,France
France,fr,12,8,0,0,1,0.0,0,0,F,True,True,False,False,116,3201,France
UK,en,13,8,1,6,9,100.0,0,0,F,False,False,False,True,11,3201,UK
