socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,social,products,country,daysSinceLastLogin,x,y,kmeans,spectral,aggl
3,9,38,4,1,0.0,33,3,12,71,France,16,-0.24198155428887297,-2.212738748203768,3,0,3
10,48,191,0,1,0.0,11,6,58,202,Netherlands,12,-1.2260557870141722,-1.7644366841730628,0,0,2
6,12,0,0,1,0.0,1,1,18,1,Italy,488,-0.15187023729256902,-1.1844892565245828,3,0,2
16,10,25,1,5,100.0,2,0,26,27,UK,11,-1.3525422677750574,0.5554323472824056,0,0,1
5,8,2,25,4,75.0,0,0,13,2,France,11,-0.245935655209987,0.6517626398712415,2,0,1
3,10,30,0,1,0.0,8,0,13,38,France,34,0.22073984984571007,-1.9262307545123905,3,0,3
25,30,410,3,2,100.0,45,2,55,455,Spain,11,-2.1348111012799795,-0.1544362835008558,0,0,1
15,8,0,18,14,100.0,0,0,23,0,UK,29,-0.06315590801188901,2.220705901761163,2,3,0
9,8,0,6,8,0.0,0,0,17,0,UK,665,0.4303261846671514,1.3108254720127686,2,3,0
3,8,1,0,1,0.0,0,0,11,1,France,691,1.1451057199666888,-1.3217155607992037,3,0,3
6,8,0,1,4,50.0,0,0,14,0,France,62,0.4651208449560289,1.456739034434605,2,3,0
137,13,60,33,163,94.0,10,3,150,70,France,11,-2.24267694596326,0.35907224347978284,0,0,1
4,8,9,0,1,0.0,0,2,12,9,UK,642,0.29697458178493547,-1.4039870500460152,3,0,2
4,8,0,1,2,0.0,1,0,12,1,Spain,600,0.17998862761312223,-0.013059474209417218,3,0,1
6,8,2,0,1,0.0,0,0,14,2,Sweden,188,0.45056531843509934,-0.6459037166653305,3,0,2
24,8,0,0,5,100.0,0,0,32,0,France,12,0.15980974003937656,1.8659345880276674,2,3,0
5,11,0,2,1,0.0,0,0,16,0,France,540,0.6204447484788526,0.44056115535540985,1,3,0
4,9,0,3,2,100.0,3,1,13,3,France,31,-0.7103657914705542,0.17931466996959222,0,0,1
25,8,0,0,2,0.0,0,0,33,0,Spain,695,0.5019139310122246,1.0953062901736415,1,3,0
4,8,8,0,1,0.0,1,0,12,9,Chypre,29,0.26208896259368336,-1.3415368608844151,3,0,2
7,8,1,2,12,83.0,0,1,15,1,France,14,-0.5971913498672092,0.3222344664691209,2,0,1
4,9,123,1,1,0.0,0,1,13,123,France,28,-0.2955255864482511,-1.2527168590455577,3,0,2
21,8,17,0,2,100.0,1,0,29,18,UK,455,-0.8861504187352403,0.365538150291886,0,0,1
71,9,22,0,18,66.0,14,11,80,36,Netherlands,14,-1.6089752866469182,-0.3193398657820831,0,0,1
6,10,36,5,1,0.0,1,1,16,37,Italy,11,-0.8124602531840649,-1.4291429154854014,3,0,2
25,8,1,0,4,75.0,0,0,33,1,Italy,12,-0.3705204038755182,0.716347572443781,2,0,1
6,8,0,0,1,0.0,0,0,14,0,France,612,1.1552922511386405,0.2014957695955509,1,3,0
3,8,0,2,1,0.0,0,0,11,0,France,217,1.5799460760545474,-0.19022210759395686,1,3,3
21,9,11,19,12,100.0,0,7,30,11,France,16,-1.3758915175919741,0.7229759187275636,0,0,1
9,8,5,3,1,100.0,1,0,17,6,UK,236,-0.6143876694399985,0.03212694742103914,0,0,1
6,8,107,0,1,0.0,3,0,14,110,Italy,28,-0.06622261178328123,-1.3390590474339998,3,0,2
25,8,0,0,2,100.0,0,0,33,0,France,319,0.1842071424532456,1.8092988262659724,2,3,0
7,8,0,0,7,100.0,0,0,15,0,France,11,0.4628210773959801,1.5903806715959745,2,3,0
7,8,1,0,1,0.0,0,0,15,1,Italy,666,0.4194671292710171,-0.5552771617958512,3,0,2
4,9,334,0,2,0.0,1,4,13,335,Italy,34,-0.7367801938552596,-1.5783395633944393,3,0,1
7,8,0,0,3,66.0,0,0,15,0,UK,61,0.6394881116780596,1.2009368509389096,2,3,0
4,13,142,0,1,0.0,2,6,17,144,Spain,11,-0.6924796430894862,-2.011006854143516,3,0,2
4,8,26,0,1,0.0,1,0,12,27,France,233,0.2106840768509623,-1.4033534950260305,3,0,2
3,9,0,1,1,0.0,0,0,12,0,France,76,1.2965149917193004,-0.1780780929311491,1,3,3
30,8,0,7,4,100.0,0,0,38,0,Chypre,17,-0.16063468373496645,2.2618213758953645,2,3,0
8,8,475,1,1,0.0,11,10,16,486,Germany,11,-0.8165398126204554,-1.6359389432382268,3,0,2
26,8,0,3,5,40.0,0,0,34,0,Italy,271,0.046508910207446214,1.8652023259895898,2,3,0
40,9,51,1,6,0.0,7,33,49,58,Germany,14,-1.5666086826003833,-0.6301461984343405,0,0,1
11,8,0,1,2,0.0,0,0,19,0,UK,419,0.4592935139871557,1.2217624326092587,2,3,0
42,8,0,55,54,100.0,0,0,50,0,UK,23,-0.3556186992167668,2.547988754512359,2,3,0
5,8,0,0,1,0.0,0,0,13,0,UK,54,1.2296015562652716,0.13122512192593444,1,3,0
23,8,0,0,4,100.0,0,0,31,0,France,367,0.1790919630016701,1.8404022787686043,2,3,0
3,8,0,0,1,0.0,0,0,11,0,France,380,1.8211872325051162,-0.5087243978983337,1,3,3
25,8,0,0,4,100.0,0,0,33,0,Italy,147,0.15867059160626984,1.8594504502276796,2,3,0
6,8,14,1,1,0.0,11,1,14,25,UK,11,-0.49377786080992553,-1.4491281020427944,3,0,2
7,8,0,0,1,0.0,0,0,15,0,Germany,654,1.0955486418094444,0.2577140011050198,1,3,0
3,8,0,0,2,100.0,0,0,11,0,France,534,1.230865903815774,0.7406600157047636,1,3,3
44,8,14,0,18,78.0,9,3,52,23,Italy,61,-1.3073069424501107,-0.2266337051391503,0,0,1
4,8,51,2,2,100.0,27,1,12,78,France,17,-0.986769150670396,-0.4531917136960109,0,0,1
7,8,2,8,4,75.0,1,0,15,3,France,21,-0.6758270001665224,0.28230208871969936,0,0,1
17,8,5,1,4,100.0,0,0,25,5,France,53,-0.7272119389662824,1.1894265436173528,2,0,1
4,8,0,0,3,100.0,0,0,12,0,France,610,0.735951246556057,1.3053603161256235,2,3,0
6,8,0,0,1,0.0,0,0,14,0,France,657,1.1552922511386405,0.2014957695955509,1,3,0
9,8,808,3,1,0.0,5,16,17,813,US,13,-0.9070758227348664,-1.6178164479606507,3,0,2
3,9,30,0,1,0.0,0,0,12,30,Finland,13,0.703313576785198,-1.4663383715362186,3,0,3
4,8,0,0,2,0.0,13,0,12,13,Germany,252,0.3143340642195788,-0.4371630785281831,3,0,1
41,8,0,23,43,78.0,0,0,49,0,France,11,-0.1775543889653245,2.1758003602666185,2,3,0
7,8,0,0,1,0.0,0,1,15,0,US,670,0.8279118201684204,-0.22988848239912968,1,3,0
12,8,5,1,13,100.0,0,0,20,5,Monaco,19,-0.6878116510040178,1.191392353709745,2,0,1
27,8,0,3,2,0.0,0,0,35,0,Spain,444,0.2340329489059815,1.4420521297830078,2,3,0
3,8,0,0,1,0.0,0,0,11,0,France,707,1.8211872325051162,-0.5087243978983337,1,3,3
3,8,1,3,1,0.0,0,0,11,1,Italy,34,0.8952545751914595,-0.9918458030143769,3,0,3
5,8,0,0,1,0.0,0,0,13,0,US,704,1.2296015562652716,0.13122512192593444,1,3,0
6,8,0,0,1,0.0,0,0,14,0,Spain,689,1.1552922511386405,0.2014957695955509,1,3,0
6,8,20,6,9,88.0,10,0,14,30,Italy,13,-0.7746584848159039,0.10966295175035684,0,0,1
24,8,1,3,3,100.0,1,0,32,2,UK,424,-1.079306935927305,0.8828420150989085,0,0,1
7,8,1,0,3,100.0,0,0,15,1,France,407,-0.18649555355551248,0.7248255471495083,2,0,1
7,8,14,0,9,88.0,0,1,15,14,France,25,-0.4565897222156997,-0.14068646844885624,2,0,1
43,8,5,1,4,0.0,0,0,51,5,Italy,448,-0.6147110489808933,0.6699313678194915,2,0,1
20,8,0,0,1,0.0,0,0,28,0,Spain,264,0.8261692431966401,0.5112159095950021,1,3,0
12,8,0,1,2,0.0,0,0,20,0,UK,62,0.4357854572733043,1.2439766939744135,2,3,0
23,10,67,2,5,60.0,6,3,33,73,Denmark,19,-1.6414492137252574,-0.3054048077478364,0,0,1
48,16,599,22,82,89.0,1016,32,64,1615,Germany,11,-2.361929463243437,-0.3247805610895819,0,0,1
3,8,7,0,1,0.0,0,0,11,7,Denmark,43,1.0654312860744515,-1.4174186489287302,3,0,3
3,8,3,0,1,0.0,16,0,11,19,Germany,171,0.6984896091437165,-1.9382422087068967,3,0,3
8,8,0,0,1,0.0,0,0,16,0,Austria,130,1.0497295573481775,0.3009051053742676,1,3,0
46,192,274,22,9,88.0,47,0,238,321,Italy,11,-2.117257022299691,0.3829949471893887,0,0,1
30,8,0,1,3,100.0,0,0,38,0,Italy,301,-0.1085058166414964,2.1866284043398734,2,3,0
3,8,0,0,1,0.0,0,0,11,0,France,48,1.8211872325051162,-0.5087243978983337,1,3,3
9,8,9,0,4,100.0,2,3,17,11,UK,29,-0.9833311133492657,-0.27714492053619644,0,0,1
5,8,0,0,1,0.0,0,0,13,0,Germany,706,1.2296015562652716,0.13122512192593444,1,3,0
3,8,32,2,1,0.0,40,4,11,72,Germany,13,0.06730779325457054,-2.271452249619876,3,0,3
3,8,3,1,1,0.0,0,0,11,3,Denmark,55,0.8723908107945082,-1.0745949261466468,3,0,3
79,421,1751,4,10,77.7,299,0,500,2050,Spain,55,-2.331515508169044,0.18339453364532624,0,0,1
4,8,0,6,1,0.0,0,0,12,0,Italy,13,1.075736473982669,0.3766824238227597,1,3,0
3,8,0,0,1,0.0,0,0,11,0,France,698,1.8211872325051162,-0.5087243978983337,1,3,3
21,8,0,0,2,100.0,0,0,29,0,France,546,0.2254827192470021,1.7705444769131986,2,3,0
4,8,16,1,1,0.0,0,0,12,16,France,20,0.32261744692058014,-0.6253471499604949,3,0,2
4,8,11,0,1,0.0,0,0,12,11,France,34,0.5684078948964045,-0.904783453833068,3,0,2
27,12,4,1,1,0.0,0,0,39,4,US,209,-0.49212233174425907,-0.10245103287376822,3,0,2
4,12,5,4,4,100.0,11,0,16,16,Italy,11,-1.1170674422779023,0.2868461851787363,0,0,1
8,20,9,4,3,66.0,141,3,28,150,Portugal,32,-1.6563989371843832,-0.5258643510542921,0,0,1
10,9,35,8,10,100.0,14,0,19,49,Spain,12,-1.314926268022335,0.49497057543312806,0,0,1
3,8,0,0,1,0.0,0,0,11,0,France,11,1.8211872325051162,-0.5087243978983337,1,3,3
5,8,0,0,6,83.0,0,0,13,0,France,45,0.7450409540053227,1.1322350279496767,2,3,0
9,8,1,0,1,0.0,1,0,17,2,UK,707,0.008631232753039914,-0.9454722549639203,3,0,2
5,7,0,0,1,0.0,0,0,12,0,France,676,1.576407550328933,0.19238382440277715,1,3,2
19,8,1,15,30,83.0,0,1,27,1,Italy,13,-0.9323266697302384,0.6852767793803078,0,0,1
4,8,60,0,3,66.0,1,0,12,61,Austria,53,-0.28777971988420065,-0.5110611251555918,3,0,1
9,8,7,21,5,100.0,12,0,17,19,Italy,11,-1.0387106381704525,0.5964496885714697,0,0,1
24,9,0,2,3,0.0,0,0,33,0,UK,227,0.08148052785711593,1.3632060517318487,2,3,0
4,8,4,0,1,0.0,0,0,12,4,France,72,0.6087700080331384,-0.8562572957047054,3,0,2
3,8,4,1,1,0.0,2,0,11,6,Italy,90,0.5254568972267877,-1.5625485824404812,3,0,3
36,15,3,0,9,100.0,1,0,51,4,US,304,-1.3033623774611784,0.5486893252962589,0,0,1
22,9,1,0,1,0.0,0,0,31,1,US,695,-0.04403963202599274,-0.3542314628027893,3,0,2
8,8,5,0,2,100.0,3,0,16,8,UK,369,-0.6251954972537537,0.17400019622544605,0,0,1
52,44,73,15,19,100.0,3,3,96,76,UK,13,-2.250596560218907,0.3232892253617877,0,0,1
12,8,133,2,4,100.0,0,4,20,133,UK,12,-1.113410418784717,0.41120766148709786,0,0,1
27,8,24,0,1,0.0,0,0,35,24,France,62,-0.05402430392502575,-0.3977966954281119,3,0,2
9,8,0,0,1,0.0,0,0,17,0,US,705,1.0151362757601352,0.3336331340255293,1,3,0
3,4,4,0,1,0.0,1,6,7,5,Netherlands,81,0.9863590805043371,-2.4412015123541377,3,0,3
10,8,0,0,2,100.0,0,0,18,0,US,618,0.39643275215540963,1.6096760028790897,2,3,0
43,23,894,3,8,62.5,290,174,66,1184,US,11,-2.2670578075084813,-0.610872245337648,0,0,1
11,16,21,0,1,0.0,28,2,27,49,Australia,11,-0.8973854288314848,-1.7094635022925797,3,0,2
8,8,1,0,1,0.0,2,0,16,3,Netherlands,47,0.0251733179139442,-1.0023619822873524,3,0,2
4,8,0,2,1,0.0,0,1,12,0,UK,17,0.8330359512909928,-0.14384258601950858,1,3,0
5,9,0,0,1,0.0,0,0,14,0,UK,132,1.0117480335209152,0.09572504937480913,1,3,0
46,41,70,0,1,0.0,67,5,87,137,Hong Kong,258,-1.3487754924551172,-1.5825535129188346,0,0,2
4,8,1,1,2,0.0,0,0,12,1,France,597,0.16529473978519527,0.04857729512459516,3,0,1
26,8,0,4,10,100.0,0,0,34,0,Spain,36,-0.13665651882192456,2.264096909058601,2,3,0
3,8,0,0,1,0.0,0,0,11,0,UK,102,1.8211872325051162,-0.5087243978983337,1,3,3
22,8,16,0,4,75.0,0,1,30,16,UK,181,-0.7216714368859829,0.06059561037569307,0,0,1
5,8,0,0,1,0.0,0,0,13,0,France,383,1.2296015562652716,0.13122512192593444,1,3,0
3,8,1,2,2,100.0,0,0,11,1,France,647,0.31354323482677754,0.24617114310826957,2,0,3
4,8,3,1,2,100.0,0,0,12,3,France,47,-0.19720382101736358,0.7087714925350475,2,0,1
3,8,0,0,1,0.0,0,0,11,0,France,695,1.8211872325051162,-0.5087243978983337,1,3,3
4,8,1,0,1,0.0,0,0,12,1,France,666,0.6658324168441594,-0.7877335557206065,3,0,2
29,8,12,0,6,100.0,8,4,37,20,Spain,14,-1.320681706815836,-0.05602917255362383,0,0,1
58,34,148,22,10,100.0,2,3,92,150,Italy,11,-2.2569819172539267,0.2681938712628419,0,0,1
5,8,64,2,4,75.0,0,4,13,64,Denmark,25,-0.631711457456432,-0.1454443608970971,0,0,1
12,8,3,0,6,66.0,3,0,20,6,France,372,-0.6091288579938364,0.03865000998805211,0,0,1
37,9,122,23,27,85.0,0,0,46,122,Italy,11,-1.2163061669600217,0.9884597422127793,0,0,1
15,8,6,7,11,100.0,44,1,23,50,France,13,-1.4781335520756462,0.18929963145034243,0,0,1
4,8,0,3,1,0.0,0,0,12,0,Italy,516,1.0920627846073574,0.3551273649650917,1,3,0
27,10,10,0,1,0.0,0,0,37,10,Italy,601,-0.24110588251063308,-0.4375262291031323,3,0,2
7,8,0,3,4,60.0,0,0,15,0,Spain,12,0.38164795876930446,1.5459560993364168,2,3,0
49,35,1,0,4,100.0,0,0,84,1,Italy,18,-1.0684722107961533,1.0606791068421406,0,0,1
8,9,2,3,2,0.0,0,0,17,2,France,41,-0.3675074318882954,0.2602757961004523,2,0,1
15,19,0,5,2,0.0,149,22,34,149,UK,12,-1.2270608673540855,-0.4606867743308919,0,0,1
4,8,18,0,1,0.0,5,3,12,23,Spain,114,-0.08741868282256508,-1.9443994834931542,3,0,2
35,11,8,2,27,55.0,1,0,46,9,Netherlands,30,-1.4027316515181472,0.55778934049265,0,0,1
9,11,10,10,6,50.0,0,0,20,10,France,661,-0.8046591158890881,0.6875824926718823,2,0,1
37,11,143,2,5,60.0,14,2,48,157,Sweden,17,-1.8257719868781197,-0.2811467743580905,0,0,1
8,8,1,0,1,0.0,1,1,16,2,France,634,-0.22441230729994216,-1.4658027671193317,3,0,2
6,8,1,0,1,0.0,0,0,14,1,France,584,0.4792107386002132,-0.6114953933053199,3,0,2
3,8,0,2,1,0.0,0,0,11,0,Italy,11,1.5799460760545474,-0.19022210759395686,1,3,3
42,8,1,22,11,90.0,1,0,50,2,Italy,25,-1.152598900942286,0.832018587229266,0,0,1
13,8,0,3,3,100.0,0,0,21,0,Italy,41,0.05987036225852893,2.03723685438811,2,3,0
4,8,2,1,1,0.0,3,0,12,5,Italy,15,0.05861275449191914,-1.0152831048148063,3,0,2
7,8,1,0,1,0.0,0,0,15,1,France,706,0.4194671292710171,-0.5552771617958512,3,0,2
6,8,0,0,1,0.0,0,1,14,0,US,681,0.8876554294976162,-0.2861067139085986,1,3,0
4,8,0,0,1,0.0,0,0,12,0,France,676,1.3419139293825868,0.025257607180264242,1,3,0
8,9,3,7,14,100.0,0,0,17,3,France,27,-0.7881383474099223,1.1122327765362339,2,0,1
9,13,7,0,1,0.0,4,1,22,11,Spain,180,-0.7092779856482975,-1.6141294527512446,3,0,2
7,8,1,0,1,0.0,0,0,15,1,Netherlands,617,0.4194671292710171,-0.5552771617958512,3,0,2
6,8,3,0,1,0.0,1,0,14,4,Austria,273,0.11223076097302785,-1.121242978761253,3,0,2
11,15,2,0,2,50.0,0,0,26,2,Italy,201,-0.5478649397477409,0.37250655442577024,2,0,1
13,12,6,1,6,100.0,0,0,25,6,UK,14,-0.9889596128324647,1.06178782878191,2,0,1
14,37,4,4,8,87.0,0,0,51,4,UK,11,-1.1178290602902978,0.8951507604967585,0,0,1
8,8,312,1,5,60.0,123,18,16,435,Ireland,14,-1.3221220473549156,-0.7203459113940046,0,0,1
4,13,14,4,1,0.0,11,0,17,25,Germany,114,-0.5718052675171227,-1.0379502841665147,3,0,2
5,8,0,2,1,0.0,0,0,13,0,UK,42,0.9883603998147023,0.4497274122303112,1,3,0
4,8,0,0,1,0.0,0,0,12,0,France,285,1.3419139293825868,0.025257607180264242,1,3,0
63,8,2,7,49,86.4,0,0,71,2,Italy,12,-0.9539478316132686,1.3964753758643158,2,0,1
6,10,13,4,5,80.0,117,85,16,130,Finland,11,-1.4588526954318126,-0.7284628626804913,0,0,1
11,8,17,0,4,75.0,1,0,19,18,France,12,-0.6207693094158011,-0.050130422175478896,0,0,1
32,8,0,0,2,100.0,0,0,40,0,Germany,430,0.11722813304492494,1.8722548213209977,2,3,0
44,8,1,0,15,31.0,0,0,52,1,Italy,26,-0.5355131291052898,0.9063734582856602,2,0,1
5,8,0,0,1,0.0,0,0,13,0,France,632,1.2296015562652716,0.13122512192593444,1,3,0
4,8,0,1,2,0.0,0,0,12,0,Italy,633,0.8413762523236227,0.8615684580254663,1,3,0
8,8,1,2,12,75.0,0,0,16,1,Italy,19,-0.3719800875621872,0.8454016776659572,2,0,1
26,10,2,0,1,0.0,27,1,36,29,Italy,37,-0.8635364311428865,-1.4522537521964545,0,0,2
8,11,3,10,4,100.0,0,0,19,3,Sweden,13,-0.8708140481719122,1.0405129138483704,2,0,1
3,8,0,0,1,0.0,0,0,11,0,France,263,1.8211872325051162,-0.5087243978983337,1,3,3
103,431,7,13,66,93.0,0,0,534,7,Italy,15,-1.7201151758500919,1.3381926336917667,0,0,1
6,8,0,0,8,88.0,0,0,14,0,UK,189,0.6593178009003275,1.2258091718661932,2,3,0
4,8,0,0,3,100.0,0,0,12,0,France,458,0.735951246556057,1.3053603161256235,2,3,0
4,8,0,0,2,100.0,0,0,12,0,US,377,0.7515926006932446,1.2746420207833613,2,3,0
5,8,0,0,1,0.0,0,0,13,0,France,383,1.2296015562652716,0.13122512192593444,1,3,0
10,7,3,3,1,0.0,236,81,17,239,UK,11,-0.5712316763676182,-1.4313111939125231,3,0,2
7,8,0,2,4,75.0,0,0,15,0,Portugal,63,0.3853401228791965,1.5456406140911736,2,3,0
7,10,1,0,14,92.0,0,1,17,1,France,120,-0.6381048679897021,-0.026521198926661844,0,0,1
4,8,0,0,2,0.0,0,0,12,0,Italy,120,1.0692993892522236,0.5606494846910302,1,3,0
12,8,0,7,10,75.0,0,0,20,0,UK,11,0.16888171551009842,1.7893814618636037,2,3,0
28,8,87,0,1,0.0,0,3,36,87,Belgium,11,-0.41644237832726955,-0.9900607206632696,3,0,2
7,8,1,1,3,66.0,0,0,15,1,Spain,592,-0.26451653778896855,0.6888646613724748,2,0,1
28,8,0,0,1,0.0,4,1,36,4,France,142,-0.2308639591506347,-0.8404194282017804,3,0,2
6,10,6,0,1,0.0,0,0,16,6,France,640,0.11696587056401139,-0.738851635688587,3,0,2
32,11,0,17,3,66.0,0,0,43,0,Grèce,18,-0.2894934922441313,1.8429938148634564,2,3,0
5,8,0,4,2,0.0,0,0,13,0,France,11,0.6998064959614978,1.0061634760914255,1,3,0
10,8,0,5,4,50.0,1,1,18,1,Ireland,17,-0.6667353641127082,0.2985810731356035,0,0,1
5,8,0,1,1,0.0,0,0,13,0,UK,455,1.0016784193366708,0.43214409526037056,1,3,0
5,8,0,0,1,0.0,0,1,13,0,Ireland,679,0.9619647346242471,-0.3563773615782149,1,3,0
85,0,115,54,73,90.0,4,0,85,119,Spain,11,-0.8411806027679064,1.1570751657145342,2,2,2
11,10,153,27,13,92.0,63,6,21,216,Belgium,11,-1.7086307176063997,-0.4177481358740314,0,0,1
172,50,778,96,34,64.0,2,0,222,780,Italy,11,-2.1837012653769383,0.6019761152221494,0,0,1
9,8,7,1,1,0.0,0,1,17,7,Luxembourg,15,-0.2361796292401547,-0.7617446271745814,3,0,2
8,10,3,3,1,0.0,49,0,18,52,Austria,16,-0.6243858781557197,-0.9194273571210922,3,0,2
6,8,1,2,1,0.0,1,0,14,2,France,102,-0.09245394831902436,-0.7591073290895226,3,0,2
22,9,36,51,18,70.0,1,0,31,37,Italy,11,-1.3490502012698529,0.4873293050234117,0,0,1
5,8,0,0,1,0.0,0,0,13,0,UK,358,1.2296015562652716,0.13122512192593444,1,3,0
11,10,14,5,18,83.0,19,0,21,33,UK,12,-1.239690965229029,0.23735208175990327,0,0,1
7,8,0,1,3,100.0,0,0,15,0,France,379,0.261662822054314,1.8387356833848152,2,3,0
15,11,5,0,1,0.0,0,0,26,5,Belgium,586,-0.12558207967690496,-0.5270797318984775,3,0,2
12,11,6,1,8,100.0,5,0,23,11,Italy,12,-1.3075323194597002,0.564515933006785,0,0,1
6,9,2,0,1,0.0,1,0,15,3,Slovaquie,19,-0.08203547207475571,-1.1477095830624309,3,0,2
5,9,41,2,3,66.0,5,0,14,46,Italy,12,-0.8673216505037339,-0.13723880232431843,0,0,1
4,8,0,0,1,0.0,1,1,12,1,US,149,0.4128894830310619,-1.3369728085587682,3,0,2
3,8,0,1,2,100.0,0,0,11,0,France,138,1.0029427668871735,1.0415789890391995,2,3,3
8,10,16,1,1,0.0,0,0,18,16,France,30,-0.228143289635016,-0.4142133165130529,3,0,2
11,11,159,1,11,90.9,11,1,22,170,Italy,13,-1.5962841525734275,-0.43113228054213804,0,0,1
4,9,4,1,9,100.0,0,1,13,4,France,11,-0.7722646411208496,0.29184274003910116,0,0,1
6,8,1,0,1,0.0,0,0,14,1,Italy,460,0.4792107386002132,-0.6114953933053199,3,0,2
8,10,45,0,1,0.0,4,10,18,49,Germany,105,-0.7003847988166043,-1.8213009244362257,3,0,2
6,8,2,2,1,0.0,0,0,14,2,Italy,477,0.20932416198453005,-0.327401426360954,3,0,2
12,11,0,1,5,100.0,1,22,23,1,France,44,-1.1781473007870211,0.4718815957422338,0,0,1
3,8,5,5,1,0.0,0,0,11,5,France,21,0.8170049170371934,-1.0546484311450413,3,0,3
21,8,1,5,29,100.0,0,0,29,1,UK,198,-0.8016813521241536,1.478273887904317,2,0,1
3,8,0,0,1,0.0,0,0,11,0,France,694,1.8211872325051162,-0.5087243978983337,1,3,3
4,8,0,0,1,0.0,0,0,12,0,Italy,424,1.3419139293825868,0.025257607180264242,1,3,0
5,8,0,3,1,0.0,0,0,13,0,UK,427,0.9797504114900419,0.46109487971076213,1,3,0
3,8,0,0,2,0.0,0,2,11,0,Italy,15,1.2695584968941993,-0.48166322695868574,1,3,3
28,9,42,1,5,80.0,0,0,37,42,France,24,-0.9726362685966359,0.7928940760851416,0,0,1
4,8,0,0,1,0.0,0,0,12,0,UK,662,1.3419139293825868,0.025257607180264242,1,3,0
5,8,1,4,1,0.0,0,0,13,1,UK,15,0.29633952355343385,-0.34221956432021133,3,0,2
4,8,0,18,18,84.0,0,0,12,0,Italy,29,0.5299288628290767,1.4822782029984272,2,3,0
14,8,0,13,11,100.0,0,0,22,0,France,28,-0.03282837524776464,2.18059338046744,2,3,0
5,10,9,0,1,0.0,1,0,15,10,France,23,-0.1628006476268456,-1.2635537375515338,3,0,2
6,8,51,6,6,85.0,29,14,14,80,UK,14,-1.1426292295646714,-0.576622044201192,0,0,1
